סמל היישוב,שם יישוב,"סה""כ",זכר,נקבה
"2,200",דימונה,"16,463","16,732","33,195"
"3,747",דולב,"1,281",581,701
475,דחי,629,325,304
489,דבורייה,"9,699","4,934","4,765"
490,דייר אל-אסד,"11,479","5,888","5,591"
492,דייר חנא,"9,624","4,829","4,795"
493,דייר ראפאת,79,42,36
"1,317",דמיידה,435,234,202
191,הדר עם,577,298,279
250,הזורע,843,395,448
302,דפנה,882,437,446
307,הזורעים,890,498,392
356,הגושרים,699,342,357
377,המעפיל,776,372,405
423,העוגן,853,413,440
434,החותרים,689,347,341
675,הבונים,342,167,175
677,הסוללים,871,448,423
684,היוגב,629,318,311
702,האון,179,75,103
726,הודייה,497,239,258
"1,186",הושעיה,974,946,"1,919"
"1,208",הילה,292,284,576
"1,241",דקל,154,142,296
"1,322",הודיות,142,140,282
"3,769",הר אדר,"3,776","1,898","1,877"
"9,700",הוד השרון,"54,134","26,271","27,863"
"1,349",דריג'את,"1,037",514,523
44,זוהר,338,187,151
464,הראל,236,118,118
584,זיקים,622,317,305
788,זיתן,"1,078",555,523
799,זכריה,"1,035",484,551
815,זבדיאל,465,227,239
816,זנוח,482,258,224
818,זרחיה,695,348,347
"1,065",זמרת,206,212,418
"1,133",ורדון,127,117,244
"1,203",הררית,197,183,379
"1,249",הרדוף,499,503,"1,002"
"1,261",הר עמשא,66,54,120
"2,064",זרועה,170,166,335
"3,603",הר גילה,"1,438",712,725
"3,639",ורד יריחו,221,110,110
"6,400",הרצלייה,"90,733","44,081","46,652"
"9,300",זכרון יעקב,"22,028","10,873","11,155"
975,זרזיר,"7,232","3,679","3,553"
"1,290",זמר,"6,375","3,224","3,152"
115,חופית,747,367,380
160,חולדה,859,430,429
205,חגלה,838,393,445
235,חבצלת השרון,543,326,217
253,חולתה,572,285,287
355,חורשים,300,141,159
374,חוקוק,523,264,259
618,חדיד,834,417,417
662,חוסן,943,476,467
717,חגור,"1,097",542,555
"1,110",חבר,205,194,399
"1,239",חולית,64,70,135
"3,764",חגי,547,299,248
"4,026",חד-נס,815,418,397
"6,500",חדרה,"86,774","42,577","44,197"
"6,600",חולון,"187,294","90,462","96,832"
496,חורפיש,"5,960","2,999","2,961"
"1,303",חורה,"18,790","9,374","9,416"
"1,321",ח'ואלד,417,203,214
"1,332",חוסנייה,616,303,314
90,חפצי-בה,463,218,245
162,חירות,"1,287",618,668
219,חיבת ציון,631,331,300
280,חניתה,724,357,367
343,חמדיה,386,187,199
363,חפץ חיים,471,233,238
700,חצב,"1,390",693,697
801,חמד,"1,124",672,452
807,חניאל,938,466,472
820,חלץ,460,247,213
"1,047",חזון,151,151,302
"1,257",חנתון,377,370,747
"1,272",חלוץ,231,232,463
"3,573",חלמיש,"1,282",697,585
"3,609",חמרה,124,69,55
"3,643",חיננית,"1,101",577,523
"3,646",חמדת,209,118,91
"4,005",חספין,"1,719","1,145",575
993,חמאם,"1,367",666,701
"4,000",חיפה,"277,082","132,906","144,176"
13,חצבה,561,285,277
268,טירת צבי,734,382,352
397,חצרים,771,362,409
406,חצור-אשדוד,531,265,266
422,חרב לאת,847,528,319
462,טל שחר,"1,231",631,600
663,טירת יהודה,"1,166",562,604
